"","eventID","plotID","n"
"1","","OAES_001",4
"2","ABBY.2016.34","ABBY_002",16
"3","ABBY.2016.34","ABBY_003",1
"4","ABBY.2016.34","ABBY_004",41
"5","ABBY.2016.34","ABBY_007",5
"6","ABBY.2016.34","ABBY_010",3
"7","ABBY.2016.34","ABBY_011",3
"8","ABBY.2016.34","ABBY_014",2
"9","ABBY.2016.34","ABBY_023",10
"10","ABBY.2017.16","ABBY_002",4
"11","ABBY.2017.16","ABBY_003",6
"12","ABBY.2017.16","ABBY_007",4
"13","ABBY.2017.16","ABBY_010",17
"14","ABBY.2017.16","ABBY_011",2
"15","ABBY.2017.16","ABBY_014",3
"16","ABBY.2017.16","ABBY_023",10
"17","ABBY.2017.21","ABBY_004",17
"18","ABBY.2017.24","ABBY_002",10
"19","ABBY.2017.24","ABBY_003",3
"20","ABBY.2017.24","ABBY_004",36
"21","ABBY.2017.24","ABBY_007",5
"22","ABBY.2017.24","ABBY_010",24
"23","ABBY.2017.24","ABBY_011",3
"24","ABBY.2017.24","ABBY_014",1
"25","ABBY.2017.24","ABBY_023",24
"26","ABBY.2017.28","ABBY_002",14
"27","ABBY.2017.28","ABBY_003",4
"28","ABBY.2017.28","ABBY_004",29
"29","ABBY.2017.28","ABBY_010",15
"30","ABBY.2017.28","ABBY_011",2
"31","ABBY.2017.28","ABBY_014",2
"32","ABBY.2017.28","ABBY_023",16
"33","ABBY.2017.32","ABBY_002",24
"34","ABBY.2017.32","ABBY_003",6
"35","ABBY.2017.32","ABBY_004",9
"36","ABBY.2017.32","ABBY_007",4
"37","ABBY.2017.32","ABBY_010",20
"38","ABBY.2017.32","ABBY_011",3
"39","ABBY.2017.32","ABBY_014",6
"40","ABBY.2017.32","ABBY_023",9
"41","ABBY.2018.23","ABBY_002",1
"42","ABBY.2018.23","ABBY_004",3
"43","ABBY.2018.23","ABBY_007",2
"44","ABBY.2018.23","ABBY_010",2
"45","ABBY.2018.23","ABBY_023",10
"46","ABBY.2018.27","ABBY_002",3
"47","ABBY.2018.27","ABBY_004",6
"48","ABBY.2018.27","ABBY_007",4
"49","ABBY.2018.27","ABBY_010",2
"50","ABBY.2018.27","ABBY_023",17
"51","ABBY.2018.31","ABBY_002",6
"52","ABBY.2018.31","ABBY_004",6
"53","ABBY.2018.31","ABBY_007",5
"54","ABBY.2018.31","ABBY_010",8
"55","ABBY.2018.31","ABBY_014",1
"56","ABBY.2018.31","ABBY_023",8
"57","ABBY.2018.35","ABBY_002",5
"58","ABBY.2018.35","ABBY_004",20
"59","ABBY.2018.35","ABBY_007",8
"60","ABBY.2018.35","ABBY_010",5
"61","ABBY.2018.35","ABBY_014",2
"62","ABBY.2018.35","ABBY_023",7
"63","ABBY.2019.26","ABBY_002",1
